long1,long2,lat1,lat2
93.87771148,79.57313889,24.73536481,16.59309563
93.87771148,76.16681726,24.73536481,14.71046095
93.87771148,74.04940785,24.73536481,15.36400472
93.87771148,72.9623108,24.73536481,9.985515104
93.87771148,76.4077955,24.73536481,10.45270542
93.87771148,78.40792811,24.73536481,11.01707933
93.87771148,79.91431909,24.73536481,11.95185154
93.87771148,92.9608613,24.73536481,11.18065072
93.87771148,#N/A,24.73536481,#N/A
93.87771148,#N/A,24.73536481,#N/A
93.87771148,#N/A,24.73536481,#N/A
93.87771148,#N/A,24.73536481,#N/A
93.87771148,#N/A,24.73536481,#N/A
92.83318176,76.33243846,23.30762901,34.63371238
92.83318176,75.41511227,23.30762901,30.84273641
92.83318176,76.77992395,23.30762901,30.72953968
92.83318176,80.56544756,23.30762901,26.92348143
92.83318176,76.33989659,23.30762901,29.19864358
92.83318176,77.11437715,23.30762901,28.64399342
92.83318176,73.84966968,23.30762901,26.58443396
92.83318176,79.20652979,23.30762901,30.15671305
92.83318176,85.60953247,23.30762901,25.67923918
92.83318176,88.4741533,23.30762901,27.57033606
92.83318176,94.67558849,23.30762901,28.03614313
92.83318176,94.46747289,23.30762901,26.06285728
92.83318176,93.87771148,23.30762901,24.73536481
92.83318176,92.83318176,23.30762901,23.30762901
92.83318176,91.74111371,23.30762901,23.74742752
92.83318176,91.27773988,23.30762901,25.53600199
92.83318176,92.82711013,23.30762901,26.35555846
92.83318176,87.98549287,23.30762901,23.80544792
92.83318176,85.56426683,23.30762901,23.65610605
92.83318176,84.43079273,23.30762901,20.51269293
92.83318176,82.04110311,23.30762901,21.26650484
92.83318176,78.28926027,23.30762901,23.53787145
92.83318176,71.59969939,23.30762901,22.68350602
92.83318176,72.21907478,23.30762901,20.51579461
92.83318176,73.06896755,23.30762901,20.1941485
92.83318176,76.10762442,23.30762901,19.45157685
92.83318176,79.57313889,23.30762901,16.59309563
92.83318176,76.16681726,23.30762901,14.71046095
92.83318176,74.04940785,23.30762901,15.36400472
92.83318176,72.9623108,23.30762901,9.985515104
92.83318176,76.4077955,23.30762901,10.45270542
92.83318176,78.40792811,23.30762901,11.01707933
92.83318176,79.91431909,23.30762901,11.95185154
92.83318176,92.9608613,23.30762901,11.18065072
92.83318176,#N/A,23.30762901,#N/A
92.83318176,#N/A,23.30762901,#N/A
92.83318176,#N/A,23.30762901,#N/A
92.83318176,#N/A,23.30762901,#N/A
92.83318176,#N/A,23.30762901,#N/A
91.74111371,76.33243846,23.74742752,34.63371238
91.74111371,75.41511227,23.74742752,30.84273641
91.74111371,76.77992395,23.74742752,30.72953968
91.74111371,80.56544756,23.74742752,26.92348143
91.74111371,76.33989659,23.74742752,29.19864358
91.74111371,77.11437715,23.74742752,28.64399342
91.74111371,73.84966968,23.74742752,26.58443396
91.74111371,79.20652979,23.74742752,30.15671305
91.74111371,85.60953247,23.74742752,25.67923918
91.74111371,88.4741533,23.74742752,27.57033606
91.74111371,94.67558849,23.74742752,28.03614313
91.74111371,94.46747289,23.74742752,26.06285728
91.74111371,93.87771148,23.74742752,24.73536481
91.74111371,92.83318176,23.74742752,23.30762901
91.74111371,91.74111371,23.74742752,23.74742752
91.74111371,91.27773988,23.74742752,25.53600199
91.74111371,92.82711013,23.74742752,26.35555846
91.74111371,87.98549287,23.74742752,23.80544792
91.74111371,85.56426683,23.74742752,23.65610605
91.74111371,84.43079273,23.74742752,20.51269293
91.74111371,82.04110311,23.74742752,21.26650484
91.74111371,78.28926027,23.74742752,23.53787145
91.74111371,71.59969939,23.74742752,22.68350602
91.74111371,72.21907478,23.74742752,20.51579461
91.74111371,73.06896755,23.74742752,20.1941485
91.74111371,76.10762442,23.74742752,19.45157685
91.74111371,79.57313889,23.74742752,16.59309563
91.74111371,76.16681726,23.74742752,14.71046095
91.74111371,74.04940785,23.74742752,15.36400472
91.74111371,72.9623108,23.74742752,9.985515104
91.74111371,76.4077955,23.74742752,10.45270542
91.74111371,78.40792811,23.74742752,11.01707933
91.74111371,79.91431909,23.74742752,11.95185154
91.74111371,92.9608613,23.74742752,11.18065072
91.74111371,#N/A,23.74742752,#N/A
91.74111371,#N/A,23.74742752,#N/A
91.74111371,#N/A,23.74742752,#N/A
91.74111371,#N/A,23.74742752,#N/A
91.74111371,#N/A,23.74742752,#N/A
91.27773988,76.33243846,25.53600199,34.63371238
91.27773988,75.41511227,25.53600199,30.84273641
91.27773988,76.77992395,25.53600199,30.72953968
91.27773988,80.56544756,25.53600199,26.92348143
91.27773988,76.33989659,25.53600199,29.19864358
91.27773988,77.11437715,25.53600199,28.64399342
91.27773988,73.84966968,25.53600199,26.58443396
91.27773988,79.20652979,25.53600199,30.15671305
91.27773988,85.60953247,25.53600199,25.67923918
91.27773988,88.4741533,25.53600199,27.57033606
91.27773988,94.67558849,25.53600199,28.03614313
91.27773988,94.46747289,25.53600199,26.06285728
91.27773988,93.87771148,25.53600199,24.73536481
91.27773988,92.83318176,25.53600199,23.30762901
91.27773988,91.74111371,25.53600199,23.74742752
91.27773988,91.27773988,25.53600199,25.53600199
91.27773988,92.82711013,25.53600199,26.35555846
91.27773988,87.98549287,25.53600199,23.80544792
91.27773988,85.56426683,25.53600199,23.65610605
91.27773988,84.43079273,25.53600199,20.51269293
91.27773988,82.04110311,25.53600199,21.26650484
91.27773988,78.28926027,25.53600199,23.53787145
91.27773988,71.59969939,25.53600199,22.68350602
91.27773988,72.21907478,25.53600199,20.51579461
91.27773988,73.06896755,25.53600199,20.1941485
91.27773988,76.10762442,25.53600199,19.45157685
91.27773988,79.57313889,25.53600199,16.59309563
91.27773988,76.16681726,25.53600199,14.71046095
91.27773988,74.04940785,25.53600199,15.36400472
91.27773988,72.9623108,25.53600199,9.985515104
91.27773988,76.4077955,25.53600199,10.45270542
91.27773988,78.40792811,25.53600199,11.01707933
91.27773988,79.91431909,25.53600199,11.95185154
91.27773988,92.9608613,25.53600199,11.18065072
91.27773988,#N/A,25.53600199,#N/A
91.27773988,#N/A,25.53600199,#N/A
91.27773988,#N/A,25.53600199,#N/A
91.27773988,#N/A,25.53600199,#N/A
91.27773988,#N/A,25.53600199,#N/A
92.82711013,76.33243846,26.35555846,34.63371238
92.82711013,75.41511227,26.35555846,30.84273641
92.82711013,76.77992395,26.35555846,30.72953968
92.82711013,80.56544756,26.35555846,26.92348143
92.82711013,76.33989659,26.35555846,29.19864358
92.82711013,77.11437715,26.35555846,28.64399342
92.82711013,73.84966968,26.35555846,26.58443396
92.82711013,79.20652979,26.35555846,30.15671305
92.82711013,85.60953247,26.35555846,25.67923918
92.82711013,88.4741533,26.35555846,27.57033606
92.82711013,94.67558849,26.35555846,28.03614313
92.82711013,94.46747289,26.35555846,26.06285728
92.82711013,93.87771148,26.35555846,24.73536481
92.82711013,92.83318176,26.35555846,23.30762901
92.82711013,91.74111371,26.35555846,23.74742752
92.82711013,91.27773988,26.35555846,25.53600199
92.82711013,92.82711013,26.35555846,26.35555846
92.82711013,87.98549287,26.35555846,23.80544792
92.82711013,85.56426683,26.35555846,23.65610605
92.82711013,84.43079273,26.35555846,20.51269293
92.82711013,82.04110311,26.35555846,21.26650484
92.82711013,78.28926027,26.35555846,23.53787145
92.82711013,71.59969939,26.35555846,22.68350602
92.82711013,72.21907478,26.35555846,20.51579461
92.82711013,73.06896755,26.35555846,20.1941485
92.82711013,76.10762442,26.35555846,19.45157685
92.82711013,79.57313889,26.35555846,16.59309563
92.82711013,76.16681726,26.35555846,14.71046095
92.82711013,74.04940785,26.35555846,15.36400472
92.82711013,72.9623108,26.35555846,9.985515104
92.82711013,76.4077955,26.35555846,10.45270542
92.82711013,78.40792811,26.35555846,11.01707933
92.82711013,79.91431909,26.35555846,11.95185154
92.82711013,92.9608613,26.35555846,11.18065072
92.82711013,#N/A,26.35555846,#N/A
92.82711013,#N/A,26.35555846,#N/A
92.82711013,#N/A,26.35555846,#N/A
92.82711013,#N/A,26.35555846,#N/A
92.82711013,#N/A,26.35555846,#N/A
87.98549287,76.33243846,23.80544792,34.63371238
87.98549287,75.41511227,23.80544792,30.84273641
87.98549287,76.77992395,23.80544792,30.72953968
87.98549287,80.56544756,23.80544792,26.92348143
87.98549287,76.33989659,23.80544792,29.19864358
87.98549287,77.11437715,23.80544792,28.64399342
87.98549287,73.84966968,23.80544792,26.58443396
87.98549287,79.20652979,23.80544792,30.15671305
87.98549287,85.60953247,23.80544792,25.67923918
87.98549287,88.4741533,23.80544792,27.57033606
87.98549287,94.67558849,23.80544792,28.03614313
87.98549287,94.46747289,23.80544792,26.06285728
87.98549287,93.87771148,23.80544792,24.73536481
87.98549287,92.83318176,23.80544792,23.30762901
87.98549287,91.74111371,23.80544792,23.74742752
87.98549287,91.27773988,23.80544792,25.53600199
87.98549287,92.82711013,23.80544792,26.35555846
87.98549287,87.98549287,23.80544792,23.80544792
87.98549287,85.56426683,23.80544792,23.65610605
87.98549287,84.43079273,23.80544792,20.51269293
87.98549287,82.04110311,23.80544792,21.26650484
87.98549287,78.28926027,23.80544792,23.53787145
87.98549287,71.59969939,23.80544792,22.68350602
87.98549287,72.21907478,23.80544792,20.51579461
87.98549287,73.06896755,23.80544792,20.1941485
87.98549287,76.10762442,23.80544792,19.45157685
87.98549287,79.57313889,23.80544792,16.59309563
87.98549287,76.16681726,23.80544792,14.71046095
87.98549287,74.04940785,23.80544792,15.36400472
87.98549287,72.9623108,23.80544792,9.985515104
87.98549287,76.4077955,23.80544792,10.45270542
87.98549287,78.40792811,23.80544792,11.01707933
87.98549287,79.91431909,23.80544792,11.95185154
87.98549287,92.9608613,23.80544792,11.18065072
87.98549287,#N/A,23.80544792,#N/A
87.98549287,#N/A,23.80544792,#N/A
87.98549287,#N/A,23.80544792,#N/A
87.98549287,#N/A,23.80544792,#N/A
87.98549287,#N/A,23.80544792,#N/A
85.56426683,76.33243846,23.65610605,34.63371238
85.56426683,75.41511227,23.65610605,30.84273641
85.56426683,76.77992395,23.65610605,30.72953968
85.56426683,80.56544756,23.65610605,26.92348143
85.56426683,76.33989659,23.65610605,29.19864358
85.56426683,77.11437715,23.65610605,28.64399342
85.56426683,73.84966968,23.65610605,26.58443396
85.56426683,79.20652979,23.65610605,30.15671305
85.56426683,85.60953247,23.65610605,25.67923918
85.56426683,88.4741533,23.65610605,27.57033606
85.56426683,94.67558849,23.65610605,28.03614313
85.56426683,94.46747289,23.65610605,26.06285728
85.56426683,93.87771148,23.65610605,24.73536481
85.56426683,92.83318176,23.65610605,23.30762901
85.56426683,91.74111371,23.65610605,23.74742752
85.56426683,91.27773988,23.65610605,25.53600199
85.56426683,92.82711013,23.65610605,26.35555846
85.56426683,87.98549287,23.65610605,23.80544792
85.56426683,85.56426683,23.65610605,23.65610605
85.56426683,84.43079273,23.65610605,20.51269293
85.56426683,82.04110311,23.65610605,21.26650484
85.56426683,78.28926027,23.65610605,23.53787145
85.56426683,71.59969939,23.65610605,22.68350602
85.56426683,72.21907478,23.65610605,20.51579461
85.56426683,73.06896755,23.65610605,20.1941485
85.56426683,76.10762442,23.65610605,19.45157685
85.56426683,79.57313889,23.65610605,16.59309563
85.56426683,76.16681726,23.65610605,14.71046095
85.56426683,74.04940785,23.65610605,15.36400472
85.56426683,72.9623108,23.65610605,9.985515104
85.56426683,76.4077955,23.65610605,10.45270542
85.56426683,78.40792811,23.65610605,11.01707933
85.56426683,79.91431909,23.65610605,11.95185154
85.56426683,92.9608613,23.65610605,11.18065072
85.56426683,#N/A,23.65610605,#N/A
85.56426683,#N/A,23.65610605,#N/A
85.56426683,#N/A,23.65610605,#N/A
85.56426683,#N/A,23.65610605,#N/A
85.56426683,#N/A,23.65610605,#N/A
84.43079273,76.33243846,20.51269293,34.63371238
84.43079273,75.41511227,20.51269293,30.84273641
84.43079273,76.77992395,20.51269293,30.72953968
84.43079273,80.56544756,20.51269293,26.92348143
84.43079273,76.33989659,20.51269293,29.19864358
84.43079273,77.11437715,20.51269293,28.64399342
84.43079273,73.84966968,20.51269293,26.58443396
84.43079273,79.20652979,20.51269293,30.15671305
84.43079273,85.60953247,20.51269293,25.67923918
84.43079273,88.4741533,20.51269293,27.57033606
84.43079273,94.67558849,20.51269293,28.03614313
84.43079273,94.46747289,20.51269293,26.06285728
84.43079273,93.87771148,20.51269293,24.73536481
84.43079273,92.83318176,20.51269293,23.30762901
84.43079273,91.74111371,20.51269293,23.74742752
84.43079273,91.27773988,20.51269293,25.53600199
84.43079273,92.82711013,20.51269293,26.35555846
84.43079273,87.98549287,20.51269293,23.80544792
84.43079273,85.56426683,20.51269293,23.65610605
84.43079273,84.43079273,20.51269293,20.51269293
84.43079273,82.04110311,20.51269293,21.26650484
84.43079273,78.28926027,20.51269293,23.53787145
84.43079273,71.59969939,20.51269293,22.68350602
84.43079273,72.21907478,20.51269293,20.51579461
84.43079273,73.06896755,20.51269293,20.1941485
84.43079273,76.10762442,20.51269293,19.45157685
84.43079273,79.57313889,20.51269293,16.59309563
84.43079273,76.16681726,20.51269293,14.71046095
84.43079273,74.04940785,20.51269293,15.36400472
84.43079273,72.9623108,20.51269293,9.985515104
84.43079273,76.4077955,20.51269293,10.45270542
84.43079273,78.40792811,20.51269293,11.01707933
84.43079273,79.91431909,20.51269293,11.95185154
84.43079273,92.9608613,20.51269293,11.18065072
84.43079273,#N/A,20.51269293,#N/A
84.43079273,#N/A,20.51269293,#N/A
84.43079273,#N/A,20.51269293,#N/A
84.43079273,#N/A,20.51269293,#N/A
84.43079273,#N/A,20.51269293,#N/A
82.04110311,76.33243846,21.26650484,34.63371238
82.04110311,75.41511227,21.26650484,30.84273641
82.04110311,76.77992395,21.26650484,30.72953968
82.04110311,80.56544756,21.26650484,26.92348143
82.04110311,76.33989659,21.26650484,29.19864358
82.04110311,77.11437715,21.26650484,28.64399342
82.04110311,73.84966968,21.26650484,26.58443396
82.04110311,79.20652979,21.26650484,30.15671305
82.04110311,85.60953247,21.26650484,25.67923918
82.04110311,88.4741533,21.26650484,27.57033606
82.04110311,94.67558849,21.26650484,28.03614313
82.04110311,94.46747289,21.26650484,26.06285728
82.04110311,93.87771148,21.26650484,24.73536481
82.04110311,92.83318176,21.26650484,23.30762901
82.04110311,91.74111371,21.26650484,23.74742752
82.04110311,91.27773988,21.26650484,25.53600199
82.04110311,92.82711013,21.26650484,26.35555846
82.04110311,87.98549287,21.26650484,23.80544792
82.04110311,85.56426683,21.26650484,23.65610605
82.04110311,84.43079273,21.26650484,20.51269293
82.04110311,82.04110311,21.26650484,21.26650484
82.04110311,78.28926027,21.26650484,23.53787145
82.04110311,71.59969939,21.26650484,22.68350602
82.04110311,72.21907478,21.26650484,20.51579461
82.04110311,73.06896755,21.26650484,20.1941485
82.04110311,76.10762442,21.26650484,19.45157685
82.04110311,79.57313889,21.26650484,16.59309563
82.04110311,76.16681726,21.26650484,14.71046095
82.04110311,74.04940785,21.26650484,15.36400472
82.04110311,72.9623108,21.26650484,9.985515104
82.04110311,76.4077955,21.26650484,10.45270542
82.04110311,78.40792811,21.26650484,11.01707933
82.04110311,79.91431909,21.26650484,11.95185154
82.04110311,92.9608613,21.26650484,11.18065072
